"","Group","Description","District","Date","Year","Month","Day.of.Week","Hour","Street"
"86","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","A1","2018-10-03",2018,10,"Wednesday",14,"HANCOCK ST"
"87","Confidence Games","FRAUD - CREDIT CARD / ATM FRAUD","A15","2018-10-03",2018,10,"Wednesday",15,"MEDFORD ST"
"88","Motor Vehicle Accident Response","M/V ACCIDENT - OTHER","B2","2018-10-03",2018,10,"Wednesday",15,"DEGAUTIER WAY"
"89","Warrant Arrests","WARRANT ARREST","B2","2018-10-03",2018,10,"Wednesday",15,"EUSTIS ST"
"90","Drug Violation","DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP","A1","2018-10-03",2018,10,"Wednesday",14,"EDINBORO ST"
"91","Property Lost","PROPERTY - MISSING","B2","2018-10-03",2018,10,"Wednesday",15,"TREMONT ST"
"92","Larceny","LARCENY SHOPLIFTING","A1","2018-10-03",2018,10,"Wednesday",14,"WASHINGTON ST"
"93","Larceny","LARCENY ALL OTHERS","B2","2018-10-03",2018,10,"Wednesday",14,"WARREN ST"
"94","Other","OTHER OFFENSE","C6","2018-10-03",2018,10,"Wednesday",14,"COLONEL MICHAEL J. MCDONO"
"95","Ballistics","BALLISTICS EVIDENCE/FOUND","A7","2018-10-01",2018,10,"Monday",9,"WHITE ST"
"96","Fraud","FRAUD - WIRE","C6","2018-09-23",2018,9,"Sunday",12,"PREBLE ST"
"97","Other","THREATS TO DO BODILY HARM","D4","2018-10-03",2018,10,"Wednesday",14,"BEACON ST"
"98","Fraud","FRAUD - FALSE PRETENSE / SCHEME","D4","2018-10-03",2018,10,"Wednesday",14,"BEACON ST"
"99","Drug Violation","DRUGS - POSS CLASS B - COCAINE, ETC.","B2","2018-10-03",2018,10,"Wednesday",14,"GERARD ST"
"100","Property Found","PROPERTY - FOUND","E5","2018-10-03",2018,10,"Wednesday",14,"CENTRE ST"
"101","Ballistics","BALLISTICS EVIDENCE/FOUND","A7","2018-10-03",2018,10,"Wednesday",8,"PARIS ST"
"102","Restraining Order Violations","VIOL. OF RESTRAINING ORDER W NO ARREST","C6","2018-10-03",2018,10,"Wednesday",12,"E FIFTH ST"
"103","Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","E18","2018-10-03",2018,10,"Wednesday",14,"RIVER ST"
"104","Larceny","LARCENY PURSE SNATCH - NO FORCE ","C11","2018-10-02",2018,10,"Tuesday",15,"MELVILLE AVE"
"105","Simple Assault","ASSAULT - SIMPLE","E18","2018-10-03",2018,10,"Wednesday",13,"HYDE PARK AVE"
"106","Vandalism","VANDALISM","E18","2018-10-03",2018,10,"Wednesday",13,"HYDE PARK AVE"
"107","Vandalism","VANDALISM","A15","2018-10-02",2018,10,"Tuesday",19,"PHIPPS ST"
"108","Warrant Arrests","WARRANT ARREST","C11","2018-10-03",2018,10,"Wednesday",13,"WASHINGTON ST"
"109","Warrant Arrests","WARRANT ARREST","E13","2018-10-03",2018,10,"Wednesday",14,"BICKFORD ST"
"110","Violations","VAL - OPERATING UNREG/UNINS  CAR","B3","2018-10-03",2018,10,"Wednesday",13,"MORTON ST"
"111","Violations","VAL - OPERATING AFTER REV/SUSP.","B3","2018-10-03",2018,10,"Wednesday",13,"MORTON ST"
"112","Harassment","HARASSMENT","D14","2018-10-03",2018,10,"Wednesday",13,"COMMONWEALTH CT"
"113","Towed","TOWED MOTOR VEHICLE","E13","2018-10-03",2018,10,"Wednesday",10,"WESTMINSTER AVE"
"114","Drug Violation","DRUGS - POSS CLASS A - HEROIN, ETC. ","A1","2018-10-03",2018,10,"Wednesday",12,"BOYLSTON ST"
"115","Fire Related Reports","FIRE REPORT - HOUSE, BUILDING, ETC.","C11","2018-10-03",2018,10,"Wednesday",14,"WASHINGTON ST"
"116","Fire Related Reports","FIRE REPORT - CAR, BRUSH, ETC.","C11","2018-10-03",2018,10,"Wednesday",14,"WASHINGTON ST"
"117","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","D4","2018-10-03",2018,10,"Wednesday",14,"HARRISON AVE"
"118","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","C11","2018-10-03",2018,10,"Wednesday",11,"DORCHESTER AVE"
"119","Fraud","FRAUD - IMPERSONATION","A1","2018-09-22",2018,9,"Saturday",0,"CONGRESS ST"
"120","Property Lost","PROPERTY - LOST","A1","2018-10-01",2018,10,"Monday",12,"TREMONT ST"
"121","Drug Violation","DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP","B2","2018-10-03",2018,10,"Wednesday",13,"SHETLAND ST"
"122","Vandalism","VANDALISM","B2","2018-10-03",2018,10,"Wednesday",13,"GURNEY ST"
"123","Drug Violation","DRUGS - POSS CLASS A - HEROIN, ETC. ","B3","2018-10-03",2018,10,"Wednesday",13,"CATBIRD CT"
"124","Investigate Person","INVESTIGATE PERSON","B2","2018-10-03",2018,10,"Wednesday",13,"HUMBOLDT AVE"
"125","Vandalism","VANDALISM","C11","2018-10-03",2018,10,"Wednesday",13,"TOPLIFF ST"
"126","Larceny","LARCENY SHOPLIFTING","B3","2018-10-03",2018,10,"Wednesday",13,"BLUE HILL AVE"
"127","Investigate Property","INVESTIGATE PROPERTY","A1","2018-10-03",2018,10,"Wednesday",12,"STILLMAN PL"
"128","Larceny","LARCENY SHOPLIFTING","C6","2018-10-03",2018,10,"Wednesday",12,"SEAPORT BLVD"
"129","HOME INVASION","HOME INVASION","E18","2018-10-03",2018,10,"Wednesday",13,"STELLA RD"
"130","Towed","TOWED MOTOR VEHICLE","B2","2018-10-03",2018,10,"Wednesday",11,"EASTMAN ST"
"131","Property Lost","PROPERTY - LOST","A1","2018-04-30",2018,4,"Monday",13,"NASHUA ST"
"132","Vandalism","VANDALISM","C11","2018-10-03",2018,10,"Wednesday",12,"BOWDOIN ST"
"133","Vandalism","VANDALISM","C11","2018-10-03",2018,10,"Wednesday",7,"NEPONSET AVE"
"134","Vandalism","VANDALISM","C11","2018-10-02",2018,10,"Tuesday",21,"LINCOLN ST"
"135","Vandalism","VANDALISM","C11","2018-10-03",2018,10,"Wednesday",5,"TOPLIFF ST"
"136","Investigate Person","INVESTIGATE PERSON","B2","2018-10-03",2018,10,"Wednesday",12,"BALFOUR ST"
"137","Vandalism","VANDALISM","C11","2018-10-03",2018,10,"Wednesday",5,"TOPLIFF ST"
"138","Investigate Person","INVESTIGATE PERSON","A7","2018-10-03",2018,10,"Wednesday",12,"MERIDIAN ST"
"139","Property Lost","PROPERTY - LOST","D4","2018-10-03",2018,10,"Wednesday",12,"HARRISON AVE"
"140","Motor Vehicle Accident Response","M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY","E18","2018-10-03",2018,10,"Wednesday",9,"HYDE PARK AVE"
"141","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","D4","2018-10-02",2018,10,"Tuesday",16,"TRAVELER ST"
"142","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PERSONAL INJURY","C11","2018-10-02",2018,10,"Tuesday",17,"DORCHESTER AVE"
"143","Larceny","LARCENY ALL OTHERS","A1","2018-10-03",2018,10,"Wednesday",11,"BULFINCH PL"
"144","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","E13","2018-10-02",2018,10,"Tuesday",18,"S HUNTINGTON AVE"
"145","Investigate Person","INVESTIGATE PERSON","D14","2018-10-03",2018,10,"Wednesday",11,"COMMONWEALTH AVE"
"146","Vandalism","VANDALISM","A7","2018-10-02",2018,10,"Tuesday",19,"CHELSEA ST"
"147","Harassment","HARASSMENT","D4","2018-10-03",2018,10,"Wednesday",12,"HARRISON AVE"
"148","Motor Vehicle Accident Response","M/V ACCIDENT - OTHER","D14","2018-10-03",2018,10,"Wednesday",11,"COMMONWEALTH AVE"
"149","Verbal Disputes","VERBAL DISPUTE","C11","2018-10-03",2018,10,"Wednesday",11,"CARSON ST"
"150","Vandalism","VANDALISM","C11","2018-10-03",2018,10,"Wednesday",5,"TOPLIFF ST"
"151","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","C11","2018-10-01",2018,10,"Monday",22,"MINOT ST"
"152","Investigate Person","INVESTIGATE PERSON","B2","2018-10-03",2018,10,"Wednesday",11,"KENSINGTON ST"
"153","Other","THREATS TO DO BODILY HARM","B2","2018-10-03",2018,10,"Wednesday",12,"WASHINGTON ST"
"154","Disorderly Conduct","AFFRAY","B3","2018-10-01",2018,10,"Monday",8,"PEACEVALE RD"
"155","Motor Vehicle Accident Response","M/V ACCIDENT - POLICE VEHICLE","A1","2018-10-03",2018,10,"Wednesday",11,"WASHINGTON ST"
"156","Other","TRESPASSING","A1","2018-10-03",2018,10,"Wednesday",11,"BOYLSTON ST"
"157","Vandalism","VANDALISM","C11","2018-10-03",2018,10,"Wednesday",5,"TOPLIFF ST"
"158","Towed","TOWED MOTOR VEHICLE","B2","2018-10-03",2018,10,"Wednesday",9,"LAWN ST"
"159","Landlord/Tenant Disputes","LANDLORD - TENANT SERVICE","B3","2018-10-03",2018,10,"Wednesday",11,"AMERICAN LEGION HWY"
"160","Verbal Disputes","VERBAL DISPUTE","B3","2018-10-03",2018,10,"Wednesday",10,"W TREMLETT ST"
"161","Disorderly Conduct","DISORDERLY CONDUCT","C6","2018-10-03",2018,10,"Wednesday",10,"BELLFLOWER ST"
"162","Other","INVESTIGATION FOR ANOTHER AGENCY","B2","2018-10-03",2018,10,"Wednesday",11,"TREMONT ST"
"163","Drug Violation","DRUGS - POSS CLASS E","C6","2018-10-03",2018,10,"Wednesday",10,"D ST"
"164","Investigate Person","INVESTIGATE PERSON","C6","2018-10-03",2018,10,"Wednesday",10,"W BROADWAY"
"165","Drug Violation","DRUGS - POSS CLASS C","D4","2018-10-03",2018,10,"Wednesday",11,"ALBANY ST"
"166","Other","THREATS TO DO BODILY HARM","D4","2018-10-03",2018,10,"Wednesday",10,"HUNTINGTON AVE"
"167","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","B2","2018-10-02",2018,10,"Tuesday",20,"BELDEN SQ"
"168","Vandalism","VANDALISM","B2","2018-10-02",2018,10,"Tuesday",20,"BELDEN SQ"
"169","Larceny From Motor Vehicle","LARCENY THEFT OF MV PARTS & ACCESSORIES","B2","2018-10-02",2018,10,"Tuesday",20,"BELDEN SQ"
"170","Firearm Violations","WEAPON - OTHER - CARRYING / POSSESSING, ETC","E13","2018-10-03",2018,10,"Wednesday",10,"BICKFORD ST"
"171","Drug Violation","DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP","E13","2018-10-03",2018,10,"Wednesday",10,"BICKFORD ST"
"172","Drug Violation","DRUGS - POSS CLASS A - HEROIN, ETC. ","E13","2018-10-03",2018,10,"Wednesday",10,"BICKFORD ST"
"173","Other","THREATS TO DO BODILY HARM","B2","2018-10-03",2018,10,"Wednesday",11,"HUMBOLDT AVE"
"174","Warrant Arrests","WARRANT ARREST","E18","2018-10-03",2018,10,"Wednesday",10,"NEPONSET AVE"
"175","Vandalism","VANDALISM","C11","2018-10-03",2018,10,"Wednesday",9,"SPEEDWELL ST"
"176","Verbal Disputes","VERBAL DISPUTE","C11","2018-10-03",2018,10,"Wednesday",10,"HAMILTON ST"
"177","Investigate Person","INVESTIGATE PERSON","B2","2018-10-02",2018,10,"Tuesday",0,"BLUE HILL AVE"
"178","Larceny","LARCENY THEFT FROM BUILDING","C6","2018-10-03",2018,10,"Wednesday",10,"MASSACHUSETTS AVE"
"179","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B2","2018-10-03",2018,10,"Wednesday",10,"MARTIN LUTHER KING JR BLV"
"180","Towed","TOWED MOTOR VEHICLE","D4","2018-10-03",2018,10,"Wednesday",9,"HEMENWAY ST"
"181","Vandalism","VANDALISM","C11","2018-10-02",2018,10,"Tuesday",20,"TOPLIFF ST"
"182","Fraud","FRAUD - FALSE PRETENSE / SCHEME","D4","2018-08-06",2018,8,"Monday",10,"BOYLSTON ST"
"183","Warrant Arrests","WARRANT ARREST","C11","2018-10-03",2018,10,"Wednesday",9,"RIDGEWOOD ST"
"184","Other","THREATS TO DO BODILY HARM","D14","2018-10-03",2018,10,"Wednesday",10,"GLENMONT RD"
"185","Motor Vehicle Accident Response","M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY","C11","2018-10-03",2018,10,"Wednesday",9,"SOUTHERN AVE"
"186","Fire Related Reports","FIRE REPORT - CAR, BRUSH, ETC.","A7","2018-10-03",2018,10,"Wednesday",9,"CHELSEA ST"
"187","Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","C6","2018-10-03",2018,10,"Wednesday",9,"COLUMBIA RD"
"188","Aggravated Assault","ASSAULT - AGGRAVATED","D4","2018-10-03",2018,10,"Wednesday",9,"WARREN AVE"
"189","Firearm Violations","WEAPON - OTHER - CARRYING / POSSESSING, ETC","D4","2018-10-03",2018,10,"Wednesday",9,"WARREN AVE"
"190","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","B2","2018-10-02",2018,10,"Tuesday",13,"CLEVELAND ST"
"191","Investigate Person","INVESTIGATE PERSON","B2","2018-10-03",2018,10,"Wednesday",9,"HUMBOLDT AVE"
"192","Simple Assault","ASSAULT - SIMPLE","B2","2018-10-03",2018,10,"Wednesday",9,"RUTHVEN ST"
"193","Missing Person Reported","TRUANCY / RUNAWAY","B2","2018-10-03",2018,10,"Wednesday",9,"RUTHVEN ST"
"194","Simple Assault","ASSAULT SIMPLE - BATTERY","B2","2018-10-03",2018,10,"Wednesday",9,"RUTHVEN ST"
"195","Verbal Disputes","VERBAL DISPUTE","B2","2018-10-03",2018,10,"Wednesday",9,"RUTHVEN ST"
"196","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","C11","2018-10-03",2018,10,"Wednesday",8,"BOSTON ST"
"197","Aggravated Assault","ASSAULT - AGGRAVATED - BATTERY","B2","2018-10-03",2018,10,"Wednesday",8,"ADRIAN ST"
"198","Vandalism","VANDALISM","C11","2018-10-03",2018,10,"Wednesday",0,"BOWDOIN ST"
"199","Vandalism","VANDALISM","C11","2018-10-02",2018,10,"Tuesday",20,"BOWDOIN ST"
"200","Other","THREATS TO DO BODILY HARM","D14","2018-10-01",2018,10,"Monday",14,"COMMONWEALTH AVE"
"201","Vandalism","VANDALISM","C11","2018-10-03",2018,10,"Wednesday",9,"BOWDOIN ST"
"202","Vandalism","VANDALISM","C11","2018-10-03",2018,10,"Wednesday",6,"BOWDOIN ST"
"203","Larceny From Motor Vehicle","LARCENY THEFT OF MV PARTS & ACCESSORIES","E18","2018-10-01",2018,10,"Monday",8,"RIVER ST"
"204","Warrant Arrests","WARRANT ARREST","C11","2018-10-03",2018,10,"Wednesday",8,"DORCHESTER AVE"
"205","Vandalism","VANDALISM","D4","2018-10-03",2018,10,"Wednesday",7,"HARRISON AVE"
"206","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","B3","2018-10-03",2018,10,"Wednesday",8,"NORWELL ST"
"207","Harassment","HARASSMENT","D14","2018-10-02",2018,10,"Tuesday",6,"JETTE CT"
"208","Vandalism","VANDALISM","B2","2018-10-02",2018,10,"Tuesday",10,"INTERVALE ST"
"209","Vandalism","GRAFFITI","E5","2018-09-27",2018,9,"Thursday",12,"WASHINGTON ST"
"210","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","A7","2018-10-03",2018,10,"Wednesday",7,"PORTER ST"
"211","Larceny From Motor Vehicle","LARCENY THEFT OF MV PARTS & ACCESSORIES","B3","2018-10-03",2018,10,"Wednesday",7,"RIVER ST"
"212","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","C6","2018-10-03",2018,10,"Wednesday",8,"DORCHESTER ST"
"213","Property Found","PROPERTY - FOUND","E18","2018-10-02",2018,10,"Tuesday",20,"BUSINESS ST"
"214","Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","D14","2018-10-02",2018,10,"Tuesday",7,"WALLINGFORD RD"
"215","Vandalism","VANDALISM","D14","2018-10-02",2018,10,"Tuesday",7,"WALLINGFORD RD"
"216","Harassment","HARASSMENT","B2","2018-10-03",2018,10,"Wednesday",8,"MALCOLM X BLVD"
"217","Towed","TOWED MOTOR VEHICLE","E13","2018-09-30",2018,9,"Sunday",9,"GLADE AVE"
"218","Property Lost","PROPERTY - LOST","C6","2018-10-03",2018,10,"Wednesday",4,"SOUTHAMPTON ST"
"219","Aggravated Assault","ASSAULT - AGGRAVATED","B2","2018-10-03",2018,10,"Wednesday",7,"BLUE HILL AVE"
"220","Other","THREATS TO DO BODILY HARM","B2","2018-10-03",2018,10,"Wednesday",7,"BLUE HILL AVE"
"221","Verbal Disputes","VERBAL DISPUTE","C11","2018-10-03",2018,10,"Wednesday",7,"FENTON ST"
"222","Motor Vehicle Accident Response","M/V ACCIDENT - PERSONAL INJURY","B3","2018-10-03",2018,10,"Wednesday",7,"BLUE HILL AVE"
"223","Property Lost","PROPERTY - LOST","A1","2018-10-03",2018,10,"Wednesday",7,"STATE ST"
"224","Vandalism","VANDALISM","C11","2018-10-03",2018,10,"Wednesday",5,"TOPLIFF ST"
